row,Question,defer_label,defer_reason,zero,endsq,n_referral,referral_density,ragas_answer_relevancy,deepeval_answer_relevancy
127,"I lost a lot of muscle during chemotherapy. Should I try to gain it back, and how?",COMMITS,"The response provides specific guidance on strength training, nutrition, and consulting a professional to regain muscle.",False,True,1,0.8628127696289905,0.9310536628,0.9375
128,I heard something about exercise cutting cancer risk and helping the heart. What does the evidence actually show?,COMMITS,"The response provides specific evidence and statistics about the benefits of exercise on heart health and cancer risk, including quantified risk reductions.",False,True,0,0.0,0.9280122715,0.9230769231
129,I am scared to do resistance training because of my lymphedema. What does the research say?,COMMITS,"The response provides substantive information about research supporting the safety and benefits of resistance training for those with lymphedema, along with practical guidance on how to approach it safely.",True,True,0,0.0,0.0,0.9230769231
130,"As a cancer survivor, I'm curious about how the exercise guidelines differ for me compared to the general recommendations for adults. What should I be aiming for each week?",COMMITS,"The response provides specific exercise guidelines for cancer survivors, including aerobic exercise, strength training, and flexibility activities.",False,True,2,1.8467220683287167,0.9204990123,0.9166666667
131,I've heard that even small amounts of exercise can be beneficial for my health as a prostate cancer survivor. Is that true?,COMMITS,"The response provides substantive information about the benefits of exercise for prostate cancer survivors, including specific benefits like reducing fatigue and improving mood.",False,True,0,0.0,0.9321325293,0.9230769231
132,"I am older and just starting to exercise after a prostate cancer diagnosis. Does the amount of weight training I do really matter, or is any amount helpful?",COMMITS,"The response provides substantive information about the benefits of weight training, emphasizing that even small amounts can be beneficial and advising on consistency and gradual increase.",True,True,0,0.0,0.0,0.9
133,"Does having a chatbot ask about my goals actually help, compared to just reading generic advice?",COMMITS,"The response explains how chatbots can clarify goals, personalize experiences, and boost engagement, providing substantive content on the benefits of using a chatbot for goal-setting.",False,True,0,0.0,0.9485191603,0.9
134,Is it true that following a healthy lifestyle actually reduces cancer risk in real-world populations?,COMMITS,"The response provides substantive information about how a healthy lifestyle can reduce cancer risk, including specific lifestyle factors and their impact.",False,False,0,0.0,0.9656640629,0.9
135,How much exercise do I need to do for it to make a difference for my bone health?,COMMITS,"The response provides specific exercise recommendations for bone health, including types of exercises and frequency.",True,True,2,1.9607843137254901,0.0,0.9
136,Does exercise affect cholesterol the same way it affects blood pressure?,COMMITS,"The response provides substantive information on how exercise affects both cholesterol and blood pressure, explaining the mechanisms and benefits.",False,False,0,0.0,0.9578241156,0.9
137,I'm concerned about how surgery might affect my bladder control after treatment. What can I do to prevent urinary incontinence and stay healthy?,COMMITS,"The response provides substantive advice on pelvic floor exercises, staying active, and maintaining a healthy diet to manage and prevent urinary incontinence.",True,True,2,1.5071590052750565,0.0,0.8888888889
138,Is it better to do more exercise or just avoid sitting so much?,COMMITS,The response provides substantive guidance by recommending both increasing physical activity and reducing sitting time for heart health.,False,True,0,0.0,0.7937890201,0.8888888889
139,I've heard that following dietary guidelines and staying active can help lower my cancer risk. Can you explain how these two things work together?,COMMITS,"The response explains how dietary guidelines and physical activity work together to reduce cancer risk by maintaining a healthy weight, supporting the immune system, and improving hormone regulation.",False,True,0,0.0,0.9324585906,0.8947368421
140,"Should I focus on one specific food or nutrient to reduce my cancer risk, like eating more antioxidants?",COMMITS,The response provides substantive guidance on adopting an overall healthy dietary pattern rather than focusing on specific nutrients.,True,True,0,0.0,0.0,0.8888888889
141,"I've heard that physical activity can help with cancer survival, but how does it really affect different types of cancer? Are there specific exercises I should focus on?",COMMITS,The response provides substantive information about the benefits of exercise for cancer survival and recommends specific types of exercises.,True,True,0,0.0,0.0,0.875
142,When should I start thinking about nutrition after a cancer diagnosis?,COMMITS,The response provides substantive guidance on when to start focusing on nutrition and the benefits of early nutritional assessment.,False,False,0,0.0,0.9423934543,0.875
143,I have prostate cancer and my doctor mentioned my PSA. Should I avoid intense exercise because it might affect my PSA levels?,COMMITS,The response provides substantive information that exercise is generally safe for prostate cancer survivors and does not adversely affect PSA levels.,True,True,1,1.297016861219196,0.0,0.875
144,"I've been feeling some discomfort while urinating, and I'm worried about my health. Should I be concerned about how this might affect my heart health, especially given my age and family history?",COMMITS,The response provides substantive content by explaining that urinary discomfort may not directly affect heart health and suggests focusing on heart health through the Life's Essential 8 framework.,True,True,1,0.9337068160597572,0.0,0.8666666667
145,I am a postmenopausal woman and I am worried about breast cancer. Does exercise help?,COMMITS,The response provides substantive information about the benefits of exercise in reducing breast cancer risk and improving overall health.,True,True,0,0.0,0.0,0.8571428571
146,Who created the physical activity guidelines that cancer survivor recommendations are based on?,COMMITS,The response provides specific information about the organizations that created the guidelines.,False,False,0,0.0,0.9439856054,0.8571428571
147,I'm curious about how my cancer treatment is going. Can you help me understand what a PET scan can tell me about my health and how it relates to my heart health?,COMMITS,"The response explains what a PET scan does and its relevance to cancer treatment, and also provides guidance on maintaining heart health.",True,True,0,0.0,0.0,0.8461538462
148,I've heard that being active can help with my overall health after surviving colorectal cancer. Can you explain how physical activity might affect my risk of dying from other causes?,COMMITS,"The response provides specific information on how physical activity reduces all-cause mortality and improves cardiovascular health, inflammation, and mental well-being.",False,True,0,0.0,0.9360644507,0.8333333333
149,I am on active surveillance for low-grade prostate cancer. Should I be doing resistance training?,COMMITS,The response provides substantive information about the benefits of resistance training for cancer survivors and suggests low to moderate-intensity resistance training as suitable.,True,True,0,0.0,0.0,0.8181818182
150,Can staying active really lower my risk of diabetes?,COMMITS,The response provides substantive information on how staying active lowers diabetes risk by improving insulin sensitivity and maintaining a healthy weight.,False,False,0,0.0,0.9788129292,0.8181818182
151,How often should I do cardio versus weights as a cancer survivor?,COMMITS,The response provides specific recommendations for both cardiovascular exercise and strength training frequency for cancer survivors.,True,True,2,2.0366598778004072,0.0,0.8181818182
152,How long does it take to see benefits from exercise as a cancer survivor?,COMMITS,"The response provides specific information about the timeframe (4 to 8 weeks) for seeing benefits from exercise and describes potential improvements in energy, mood, and quality of life.",False,True,0,0.0,0.9373949588,0.8
153,Why might lifting weights help protect against colon cancer specifically?,COMMITS,"The response provides substantive information on how weight lifting may lower colon cancer risk through effects on body composition, insulin sensitivity, and inflammation.",False,True,0,0.0,0.9548870429,0.7857142857
154,Does staying active after a cancer diagnosis actually help me live longer?,COMMITS,"The response provides substantive information about the benefits of staying active, including reduced mortality risk and improved quality of life.",False,True,0,0.0,0.9686150022,0.7777777778
155,Does what I eat actually affect my cancer risk?,COMMITS,"The response provides substantive information about how diet can influence cancer risk, including examples of dietary patterns that may increase or decrease risk.",False,True,0,0.0,0.9633033515,0.7777777778
156,"What is the recommended level of exercise I should aim for to help reduce my risk of cancer, and does it vary depending on the type of cancer?",COMMITS,The response provides specific exercise recommendations of 150 to 300 minutes per week and notes variation by cancer type.,True,True,0,0.0,0.0,0.7777777778
157,Can staying active after cancer treatment reduce my chances of the cancer coming back?,COMMITS,"The response provides substantive information about the benefits of staying active, including reducing cancer recurrence risk and improving overall health.",False,True,0,0.0,0.9691622642,0.7777777778
158,How much does being physically active lower my risk of dying from cancer?,COMMITS,"The response provides specific information about the impact of physical activity on cancer mortality, including a statistic about risk reduction.",False,True,0,0.0,0.9426194735,0.75
159,Can lifting weights actually help reduce my risk of getting cancer?,COMMITS,"The response provides substantive information about how lifting weights can reduce cancer risk by improving physical function, maintaining muscle mass, and supporting healthy glucose levels.",False,True,0,0.0,0.9877354467,0.7272727273
160,How much exercise do I need to lower my cancer risk — is there a target to aim for?,COMMITS,"The response provides specific exercise recommendations to lower cancer risk, including minutes per week and types of activities.",False,True,0,0.0,0.9513034604,0.7142857143
161,"Does exercise actually lower blood pressure, or is that just something people say?",COMMITS,The response provides substantive information about how exercise lowers blood pressure and its benefits for cancer survivors.,False,True,0,0.0,0.8805261353,0.6
162,How many people will be living with cancer in the coming years?,COMMITS,The response provides a specific statistic about the expected number of cancer survivors by 2040 and explains factors contributing to this increase.,False,False,0,0.0,0.926090963,0.5
